wul;wvl;wgul;wgvl;time
-0.7642676217482853;1.4373783428293003;-2.051455195219081;3.858226078120753;2016-12-01 00:00:00
-1.1977997803419218;1.7758112024280668;-2.778895490393259;4.119881989633115;2016-12-01 01:00:00
-0.9653906801030973;1.8156358014685898;-2.4939259235996682;4.690392487127191;2016-12-01 02:00:00
-1.1199601639421242;1.724587417322514;-3.2665504781645294;5.030046633857333;2016-12-01 03:00:00
-1.3614364640292944;2.6719695068816773;-2.917363851491345;5.7256489433178785;2016-12-01 04:00:00
-0.8368463794330125;2.4303783580929843;-2.0921159485825314;6.07594589523246;2016-12-01 05:00:00
-0.9825659485051628;2.5596718077912928;-2.18006819824583;5.67927182353693;2016-12-01 06:00:00
-0.376018532467562;1.9344476512852564;-1.2261473884811809;6.307981471582359;2016-12-01 07:00:00
-0.6262646781128319;2.048419462269485;-1.6783893373423888;5.489764158882218;2016-12-01 08:00:00
-2.220446049250313e-16;1.5422510487765864;-1.3322676295501878e-15;5.140836829255289;2016-12-01 09:00:00
;;;;2016-12-01 10:00:00
-0.8029704465047919;2.8002907331181937;-1.842108671393346;6.4241963877417385;2016-12-01 11:00:00
-0.9210543356966732;3.2120981938708697;-2.149126783292237;7.494895785698696;2016-12-01 12:00:00
-0.3761546415702677;3.5788723510469955;-0.9045623523475479;8.60633589180349;2016-12-01 13:00:00
-1.7076228168675844;3.8353836426425008;-4.112234538579081;9.236229996567653;2016-12-01 14:00:00
-1.508536574666267;3.733759043854125;-3.562714038041608;8.818026678038462;2016-12-01 15:00:00
-0.991904669211802;3.4591826703224755;-2.290827450322494;7.989064738601906;2016-12-01 16:00:00
-1.5570382593485814;3.339079322671189;-3.72964978402102;7.998259772910056;2016-12-01 17:00:00
-1.9857950279747636;3.30491792121207;-4.324620283145042;7.197376806195176;2016-12-01 18:00:00
-1.1523270077276104;3.769091810575851;-2.4800081253268145;8.11174107058716;2016-12-01 19:00:00
;;;;2016-12-01 20:00:00
-1.5399562664690456;3.1573782490055953;-3.605751258073863;7.3928856562082235;2016-12-01 21:00:00
-1.2797345735837364;2.1298359936700004;-3.4861734935556967;5.801967017238968;2016-12-01 22:00:00
-0.9052548019468498;1.9413251875995285;-2.498503253373305;5.358057517774698;2016-12-01 23:00:00
-0.8926361380618798;2.5924035819658497;-2.2873801037835673;6.643034178787488;2016-12-02 00:00:00
-0.8089515001185787;2.349365746156551;-2.064221069268098;5.994933283296027;2016-12-02 01:00:00
-1.2770369039011593;2.618313669907079;-2.7418733524936676;5.621673467741671;2016-12-02 02:00:00
-0.9949922088224312;2.462692135308039;-2.407239214892979;5.958126133809774;2016-12-02 03:00:00
-0.9763207760051811;2.835441417775148;-2.2873801037835673;6.643034178787488;2016-12-02 04:00:00
-0.25060416357373716;2.041007124437325;-0.7726961710190223;6.293105300348418;2016-12-02 05:00:00
-0.991904669211802;3.4591826703224755;-2.101893227615485;7.330172801397626;2016-12-02 06:00:00
-0.926686801569961;2.8520487133094585;-2.3299553868044733;7.170865336320924;2016-12-02 07:00:00
-0.3422004963819013;1.9407154537948328;-1.1009929014026387;6.244041025252941;2016-12-02 08:00:00
-2.220446049250313e-16;1.4565704349556645;-8.881784197001252e-16;5.397878670718051;2016-12-02 09:00:00
;;;;2016-12-02 10:00:00
-0.08965166232569505;1.2820785022791945;-0.37056020427953973;5.29925780942067;2016-12-02 11:00:00
1.0654867214568404;0.7186798682051533;3.5516224048561336;2.395599560683844;2016-12-02 12:00:00
0.8765105717252505;0.9399425111240038;2.3957955627156835;2.5691761970722764;2016-12-02 13:00:00
1.617616721855172;1.9975902901825036;3.720518460266896;4.594457667419758;2016-12-02 14:00:00
0.19281960479941396;3.679217235251344;0.4215126244452301;8.042940002642474;2016-12-02 15:00:00
0.18385125108781342;3.5080908522163976;0.4484176855800328;8.556319151747312;2016-12-02 16:00:00
-0.7847343286279556;4.03710814181271;-1.6839090801808219;8.662961220973106;2016-12-02 17:00:00
-1.1773775948521241;3.8510285890666314;-2.6804128223229196;8.767235298513391;2016-12-02 18:00:00
-1.0793408872873669;4.675139013413678;-2.467064885228267;10.686032030659835;2016-12-02 19:00:00
;;;;2016-12-02 20:00:00
-1.8421331971498116;3.190668291772769;-5.0551562154343666;8.755787405329924;2016-12-02 21:00:00
-1.8692453632047301;3.3722079015410094;-4.236956156597389;7.643671243492955;2016-12-02 22:00:00
-1.9069599290713473;3.051773819990549;-4.404169359998111;7.048144298549601;2016-12-02 23:00:00
-1.9166308644511982;2.7372325487263947;-4.619571827138786;6.597432296930286;2016-12-03 00:00:00
-1.0138853781804713;2.174284210111471;-3.077866326619289;6.600505637838397;2016-12-03 01:00:00
-1.4078614084836838;2.6478022104750276;-3.217968933676991;6.052119338228634;2016-12-03 02:00:00
-1.4538575047147901;2.62282836786523;-3.406180439617508;6.144912176141394;2016-12-03 03:00:00
-0.9963528578549364;2.7374569787655174;-2.5494911362758677;7.00466932801765;2016-12-03 04:00:00
-0.8647412587474461;2.511390970029417;-2.426854500355736;7.048097238469654;2016-12-03 05:00:00
-0.6376530016361583;2.2237602880644483;-1.9838093384236037;6.91836534064495;2016-12-03 06:00:00
-0.6012140909883186;1.9664826837787048;-1.8787940343384957;6.145258386808454;2016-12-03 07:00:00
-0.5668026681210296;1.9766758116128431;-1.6059408930095844;5.60058146623639;2016-12-03 08:00:00
-0.2686818868359053;2.556337393604997;-0.6537925913007028;6.220420991105492;2016-12-03 09:00:00
;;;;2016-12-03 10:00:00
